Group num: 0, TC(X;Y_j): 6.512
uitstoot, 0.148, 2.000, 0.297
broeikasgassen, 0.122, 2.000, 0.243
co2, 0.116, 2.000, 0.233
opwarming, 0.089, 2.000, 0.179
duurzame, 0.073, 2.000, 0.147
leefomgeving, 0.048, 2.000, 0.096
klimaatverandering, 0.047, 2.000, 0.095
klimaatbeleid, 0.047, 2.000, 0.094
fossiele, 0.088, 1.000, 0.088
broeikasgas, 0.044, 2.000, 0.087
duurzaam, 0.038, 2.000, 0.076
ipcc, 0.038, 2.000, 0.075
uitstoot broeikasgassen, 0.073, 1.000, 0.073
klimaatakkoord, 0.035, 2.000, 0.070
2050, 0.065, 1.000, 0.065
2030, 0.062, 1.000, 0.062
temperatuurstijging, 0.029, 2.000, 0.059
brandstoffen, 0.058, 1.000, 0.058
1990, 0.057, 1.000, 0.057
atmosfeer, 0.028, 2.000, 0.057
fossiele brandstoffen, 0.055, 1.000, 0.055
reductie, 0.044, 1.000, 0.044
planbureau leefomgeving, 0.043, 1.000, 0.043
wereldwijde, 0.043, 1.000, 0.043
verduurzaming, 0.021, 2.000, 0.042
planbureau, 0.042, 1.000, 0.042
opzichte, 0.039, 1.000, 0.039
uitstoten, 0.038, 1.000, 0.038
duurzaamheid, 0.019, 2.000, 0.038
2020, 0.036, 1.000, 0.036
graad, 0.036, 1.000, 0.036
emissies, 0.035, 1.000, 0.035
opzichte 1990, 0.035, 1.000, 0.035
uitstoot co2, 0.035, 1.000, 0.035
doelstelling, 0.034, 1.000, 0.034
doelen, 0.034, 1.000, 0.034
oplossingen, 0.031, 1.000, 0.031
elektrische, 0.031, 1.000, 0.031
klimaatpanel, 0.031, 1.000, 0.031
doelstellingen, 0.031, 1.000, 0.031
beperken, 0.028, 1.000, 0.028
transport, 0.028, 1.000, 0.028
verminderen, 0.027, 1.000, 0.027
emissie, 0.013, 2.000, 0.027
technieken, 0.026, 1.000, 0.026
klimaat, 0.013, 2.000, 0.026
klimaatneutraal, 0.013, 2.000, 0.026
energiebesparing, 0.024, 1.000, 0.024
lager, 0.024, 1.000, 0.024
verbranding, 0.023, 1.000, 0.023
pbl, 0.023, 1.000, 0.023
leefomgeving pbl, 0.023, 1.000, 0.023
naties, 0.023, 1.000, 0.023
vervuilende, 0.022, 1.000, 0.022
klimaattop, 0.022, 1.000, 0.022
opwarming beperken, 0.022, 1.000, 0.022
klimaatwet, 0.022, 1.000, 0.022
transitie, 0.022, 1.000, 0.022
groeit, 0.021, 1.000, 0.021
climate, 0.021, 1.000, 0.021
industriële, 0.020, 1.000, 0.020
celsius, 0.020, 1.000, 0.020
sectoren, 0.020, 1.000, 0.020
stijgt, 0.019, 1.000, 0.019
uitstoot broeikasgas, 0.019, 1.000, 0.019
ambitieus, 0.019, 1.000, 0.019
luchtkwaliteit, 0.019, 1.000, 0.019
dringen, 0.019, 1.000, 0.019
broeikasgassen 2030, 0.019, 1.000, 0.019
milieuorganisaties, 0.019, 1.000, 0.019
fabrieken, 0.019, 1.000, 0.019
hernieuwbaar, 0.009, 2.000, 0.019
reduceren, 0.018, 1.000, 0.018
gestegen, 0.018, 1.000, 0.018
schoner, 0.018, 1.000, 0.018
co2 uitstoten, 0.018, 1.000, 0.018
opslag co2, 0.018, 1.000, 0.018
stijgen, 0.018, 1.000, 0.018
drastisch, 0.018, 1.000, 0.018
technologieën, 0.018, 1.000, 0.018
verduurzamen, 0.009, 2.000, 0.018
daalt, 0.018, 1.000, 0.018
afspraken, 0.017, 1.000, 0.017
terugdringen, 0.017, 1.000, 0.017
iea, 0.017, 1.000, 0.017
voordelen, 0.017, 1.000, 0.017
innovatie, 0.017, 1.000, 0.017
grondstoffen, 0.017, 1.000, 0.017
bedrijfsleven, 0.017, 1.000, 0.017
klimaatprobleem, 0.008, 2.000, 0.016
groeiende, 0.016, 1.000, 0.016
energieakkoord, 0.016, 1.000, 0.016
nul, 0.016, 1.000, 0.016
broeikaseffect, 0.008, 2.000, 0.016
overheden, 0.016, 1.000, 0.016
omlaag, 0.016, 1.000, 0.016
carbon, 0.016, 1.000, 0.016
energieverbruik, 0.016, 1.000, 0.016
milieubeweging, 0.016, 1.000, 0.016
uitgestoten, 0.016, 1.000, 0.016
2013, 0.015, 1.000, 0.015
klimaatpanel naties, 0.015, 1.000, 0.015
aanpak, 0.015, 1.000, 0.015
hout, 0.015, 1.000, 0.015
ontwikkelingslanden, 0.015, 1.000, 0.015
maximaal, 0.015, 1.000, 0.015
afgesproken, 0.014, 1.000, 0.014
verlagen, 0.014, 1.000, 0.014
simpelweg, 0.014, 1.000, 0.014
methaan, 0.014, 1.000, 0.014
opwarmt, 0.014, 1.000, 0.014
werelds, 0.014, 1.000, 0.014
schone, 0.014, 1.000, 0.014
mondiale, 0.014, 1.000, 0.014
afvangen, 0.013, 1.000, 0.013
2030 uitstoot, 0.013, 1.000, 0.013
toename, 0.013, 1.000, 0.013
wereldwijde uitstoot, 0.013, 1.000, 0.013
broeikasgasuitstoot, 0.007, 2.000, 0.013
stimuleren, 0.013, 1.000, 0.013
kunstmest, 0.013, 1.000, 0.013
co2 atmosfeer, 0.013, 1.000, 0.013
ipcc klimaatpanel, 0.013, 1.000, 0.013
broeikasgas co2, 0.013, 1.000, 0.013
klimaatplannen, 0.012, 1.000, 0.012
biobrandstoffen, 0.012, 1.000, 0.012
klimaatwetenschappers, 0.012, 1.000, 0.012
vergeleken, 0.012, 1.000, 0.012
change, 0.012, 1.000, 0.012
zuiniger, 0.012, 1.000, 0.012
ccs, 0.012, 1.000, 0.012
climate change, 0.012, 1.000, 0.012
schattingen, 0.012, 1.000, 0.012
californië, 0.012, 1.000, 0.012
ets, 0.012, 1.000, 0.012
global, 0.012, 1.000, 0.012
klimaatconferentie, 0.012, 1.000, 0.012
teruggedrongen, 0.012, 1.000, 0.012
verstoken, 0.012, 1.000, 0.012
tempo, 0.012, 1.000, 0.012
extreem, 0.012, 1.000, 0.012
industriële revolutie, 0.011, 1.000, 0.011
verhogen, 0.011, 1.000, 0.011
uitkomen, 0.011, 1.000, 0.011
concrete, 0.011, 1.000, 0.011
opkomende, 0.011, 1.000, 0.011
ambitieuze, 0.011, 1.000, 0.011
vrijkomt, 0.011, 1.000, 0.011
industrieën, 0.011, 1.000, 0.011
processen, 0.011, 1.000, 0.011
schadelijke, 0.011, 1.000, 0.011
schonere, 0.011, 1.000, 0.011
energieagentschap, 0.011, 1.000, 0.011
méér, 0.011, 1.000, 0.011
overtollige, 0.011, 1.000, 0.011
uitwerking, 0.011, 1.000, 0.011
streven, 0.011, 1.000, 0.011
woningen, 0.011, 1.000, 0.011
kyoto, 0.011, 1.000, 0.011
mondiaal, 0.010, 1.000, 0.010
amper, 0.010, 1.000, 0.010
rekenen, 0.010, 1.000, 0.010
vergroenen, 0.010, 1.000, 0.010
panel, 0.010, 1.000, 0.010
ambitie, 0.010, 1.000, 0.010
minst, 0.010, 1.000, 0.010
vervuiling, 0.010, 1.000, 0.010
fijnstof, 0.010, 1.000, 0.010
mest, 0.010, 1.000, 0.010
stijging, 0.010, 1.000, 0.010
overgang, 0.010, 1.000, 0.010
gigaton, 0.010, 1.000, 0.010
toeneemt, 0.010, 1.000, 0.010
klimaatdoel, 0.010, 1.000, 0.010
2100, 0.010, 1.000, 0.010
energiebelasting, 0.010, 1.000, 0.010
milieubeleid, 0.010, 1.000, 0.010
inzetten, 0.010, 1.000, 0.010
co2 vrijkomt, 0.010, 1.000, 0.010
doorbraken, 0.010, 1.000, 0.010
kerosine, 0.010, 1.000, 0.010
koolstof, 0.009, 1.000, 0.009
profiteren, 0.009, 1.000, 0.009
reductie broeikasgassen, 0.009, 1.000, 0.009
remco boer, 0.009, 1.000, 0.009
piek, 0.009, 1.000, 0.009
bijzetten, 0.009, 1.000, 0.009
broeikasgassen 2050, 0.009, 1.000, 0.009
broeikasgassen co2, 0.009, 1.000, 0.009
negeren, 0.009, 1.000, 0.009
driekwart, 0.009, 1.000, 0.009
optimistische, 0.009, 1.000, 0.009
luchtvervuiling, 0.009, 1.000, 0.009
berekeningen, 0.009, 1.000, 0.009
publiceerde, 0.009, 1.000, 0.009
noodzaak, 0.009, 1.000, 0.009
chemische, 0.009, 1.000, 0.009
klimaatpanel ipcc, 0.009, 1.000, 0.009
fossiele brandstof, 0.009, 1.000, 0.009
onvoldoende, 0.009, 1.000, 0.009
mobiliteit, 0.009, 1.000, 0.009
zoden, 0.009, 1.000, 0.009
uitgeput, 0.009, 1.000, 0.009
regeringen, 0.009, 1.000, 0.009
broeikasgassen verminderen, 0.009, 1.000, 0.009
innovaties, 0.009, 1.000, 0.009
graad opwarming, 0.009, 1.000, 0.009
naties ipcc, 0.009, 1.000, 0.009
lege gasvelden, 0.009, 1.000, 0.009
how, 0.009, 1.000, 0.009
rapporten, 0.009, 1.000, 0.009
onwaarschijnlijk, 0.009, 1.000, 0.009
aandeel hernieuwbare, 0.008, 1.000, 0.008
heffing, 0.008, 1.000, 0.008
apparaten, 0.008, 1.000, 0.008
concludeert, 0.008, 1.000, 0.008
zoden dijk, 0.008, 1.000, 0.008
percentage, 0.008, 1.000, 0.008
emissiehandelssysteem, 0.008, 1.000, 0.008
grofweg, 0.008, 1.000, 0.008
biobrandstof, 0.008, 1.000, 0.008
pompen, 0.008, 1.000, 0.008
klimaattop kopenhagen, 0.008, 1.000, 0.008
megaton, 0.008, 1.000, 0.008
vermindering, 0.008, 1.000, 0.008
afvang, 0.008, 1.000, 0.008
internationaal energieagentschap, 0.008, 1.000, 0.008
heffen, 0.008, 1.000, 0.008
2023, 0.008, 1.000, 0.008
emissierechten, 0.008, 1.000, 0.008
eerlijke, 0.008, 1.000, 0.008
gasvelden, 0.008, 1.000, 0.008
isoleren, 0.008, 1.000, 0.008
agentschap, 0.008, 1.000, 0.008
