0:uitstoot,broeikasgassen,co2,opwarming,duurzame,leefomgeving,klimaatverandering,klimaatbeleid,fossiele,broeikasgas
1:elektriciteit,opslag,centrales,afval,gascentrales,kosten,opslaan,waait,ondergronds,elektriciteitsnet
2:president,poetin,iran,kernwapens,conflict,militair,internationale,staten,sancties,trump
3:fukushima,tsjernobyl,ramp,straling,tsunami,radioactief,aardbeving,1986,veiligheid,radioactieve
4:miljard,euro,miljoen,geld,prijs,kost,miljard euro,investeringen,subsidie,duitsland
5:reactor,uranium,reactoren,thorium,kernreactoren,nucleaire,borssele,finland,radioactief afval,splijtstof
6:kinderen,wetenschap,mensheid,filosoof,filosofie,waarden,moreel,planeet,morele,wetenschappers
7:vvd,partij,d66,cda,pvda,groenlinks,verkiezingen,kamer,kabinet,rutte
8:minzaam,boel geld,ingewijde,verbaal,kopenhagen,gooide,glad,jinping,keus,veranda
9:nationale,europees,verzet,lidstaten,groenen,polen,hongarije,tsjechië,gezamenlijke,rechters
10:landbouw,schaal,consumptie,bossen,wereldbevolking,plastic,oceanen,materialen,inkomen,bosbranden
11:green deal,green,timmermans,deal,verontwaardiging,leyen,zaal,onderlinge,von leyen,schreven
12:corona,piet,coronacrisis,ondernemer,democratisch,virus,discriminatie,migranten,integendeel,burger
13:diesel,benzine,tata,nationaal,consumenten,alternatieve,steel,verbranden,state,tata steel
14:groningen,ruimtelijke,landschap,groningse,ruimtelijke ordening,gaswinning,ordening,immers,benutten,putten
